Date,Open,High,Low,Close
2024-05-30,1828.19,1834.83,1822.03,1824.07
2024-05-29,1850.08,1855.49,1834.23,1834.23
2024-05-28,1862.22,1863.45,1851.76,1854.16
2024-05-27,1859.58,1862.26,1852.23,1859.60
2024-05-24,1849.37,1857.45,1848.21,1854.37
2024-05-23,1859.59,1868.06,1855.81,1859.98
2024-05-21,1874.55,1874.55,1858.48,1864.02
2024-05-20,1888.31,1894.57,1875.09,1877.66
2024-05-17,1876.81,1887.00,1873.81,1884.07
2024-05-16,1877.75,1885.46,1873.61,1876.09
2024-05-15,1873.35,1874.61,1859.01,1863.87
2024-05-14,1867.65,1877.16,1865.93,1871.82
2024-05-13,1864.70,1869.68,1856.02,1865.74
2024-05-10,1860.23,1865.30,1854.81,1864.14
2024-05-09,1865.92,1873.57,1856.53,1858.79
2024-05-08,1871.53,1873.19,1863.71,1864.72
2024-05-07,1872.71,1882.05,1869.90,1869.90
2024-05-03,1854.52,1863.68,1851.13,1858.31
2024-05-02,1857.10,1860.77,1848.42,1848.42
2024-04-30,1851.92,1863.16,1849.47,1856.35
2024-04-29,1853.62,1853.62,1837.19,1847.56
2024-04-26,1853.49,1855.40,1843.14,1845.87
2024-04-25,1843.59,1854.63,1840.95,1852.35
2024-04-24,1853.54,1853.54,1839.19,1847.27
2024-04-23,1836.86,1849.94,1836.65,1842.29
2024-04-22,1819.78,1833.89,1817.84,1830.98
2024-04-19,1816.14,1822.48,1804.31,1806.88
2024-04-18,1859.56,1866.28,1829.82,1847.48
2024-04-17,1873.34,1876.03,1853.54,1858.13
2024-04-11,1917.16,1918.46,1900.50,1902.50
2024-04-10,1916.16,1926.99,1914.71,1921.53
2024-04-09,1878.05,1912.13,1874.76,1912.13
2024-04-05,1863.29,1875.51,1861.63,1872.35
2024-04-04,1875.25,1875.25,1860.36,1868.10
2024-04-03,1869.24,1881.67,1867.86,1869.41
2024-04-02,1870.04,1876.85,1866.64,1874.62
2024-04-01,1873.21,1880.79,1865.49,1873.17
2024-03-29,1861.58,1871.39,1859.91,1870.80
2024-03-28,1874.91,1877.57,1855.28,1857.90
2024-03-27,1865.82,1879.85,1865.28,1873.22
2024-03-26,1862.96,1872.06,1858.78,1868.93
2024-03-25,1876.67,1884.26,1856.85,1863.34
2024-03-22,1878.80,1888.73,1874.24,1877.37
2024-03-21,1879.31,1887.00,1878.76,1884.92
2024-03-20,1877.86,1880.35,1861.60,1863.06
2024-03-19,1878.59,1888.06,1873.80,1874.17
2024-03-18,1882.32,1890.75,1877.50,1880.10
2024-03-15,1885.10,1889.83,1878.48,1878.74
2024-03-14,1876.59,1893.87,1873.75,1893.13
2024-03-13,1868.46,1881.90,1866.66,1876.03
2024-03-12,1873.59,1877.01,1860.39,1868.80
2024-03-11,1873.11,1879.71,1866.47,1867.87
2024-03-08,1859.16,1878.66,1858.40,1878.66
2024-03-07,1858.89,1862.34,1846.57,1857.46
2024-03-06,1833.63,1863.27,1832.89,1855.83
2024-03-05,1836.72,1842.84,1825.20,1837.48
2024-03-04,1851.35,1856.29,1841.91,1842.85
2024-03-01,1853.12,1861.53,1845.08,1848.75
2024-02-29,1865.25,1866.82,1846.59,1853.39
2024-02-28,1877.27,1877.36,1865.92,1866.85
2024-02-27,1891.47,1896.96,1880.37,1884.40
2024-02-23,1902.93,1902.99,1891.07,1893.84
